,ID,date,geometry,image,max,mean,median,min,percentile_25,percentile_75,std,observations
578,9,2017-01-01,"POLYGON ((40.29501316857259 0.1586811419581205, 40.33730539393197 0.1589768906494802, 40.33564919489692 0.1364408288137585, 40.3280779993081 0.1254389639706871, 40.33226285936989 0.1220230614264362, 40.32800406185118 0.1075313489858168, 40.31534596922614 0.1045738557755736, 40.31617406874366 0.09818566950095171, 40.30990417239668 0.09788992010620595, 40.30617772456781 0.1029176594556237, 40.30185977708357 0.1188289703430893, 40.29501316857259 0.1586811419581205))",SVDNB_npp_20170101-20170131_75N060W_vcmcfg_v10_c201702241223.avg_rade9.tif,4.95465087891,0.418501702425,0.184499204159,0.064142562449,0.122545037419,0.29635412991,0.664506060624,17.0
579,10,2017-01-01,"POLYGON ((7.978473859580398 16.94521982650482, 7.965697467024278 16.9456724811759, 7.952684474606006 16.96151470802103, 7.970192864405135 16.97871332744412, 8.005682843727694 16.99296888304548, 8.024610832699723 16.98233388864115, 8.019169035870267 16.9698879168973, 7.985571855444911 16.96128839989776, 7.986518254893512 16.9522358514477, 7.978473859580398 16.94521982650482))",SVDNB_npp_20170101-20170131_75N060W_vcmcfg_v10_c201702241223.avg_rade9.tif,14.3726377487,4.99072509766,4.25643777847,0.301274836063,1.87443077564,7.45572710037,3.53963169978,16.0
580,1,2017-02-01,"POLYGON ((2.035627312691083 13.54090464302728, 2.05821629299748 13.56556812152508, 2.082879771495282 13.56349362333368, 2.086798268079045 13.57386611429069, 2.098553757830333 13.57732361127637, 2.102241754615051 13.59991259158277, 2.114919243562519 13.5985295927885, 2.123217236328135 13.5646461223289, 2.140735221055545 13.55680912916138, 2.151568711610654 13.53721664624256, 2.156639707189641 13.51186166834763, 2.16885619653902 13.52131216010847, 2.172544193323738 13.53606414724734, 2.18637418126643 13.53583364744829, 2.192828175639686 13.52984065267313, 2.187987679859744 13.50494667437628, 2.171622194127558 13.49434368362022, 2.186604681065475 13.48535419145746, 2.195133173630135 13.47106320391668, 2.209654660969962 13.4680667065291, 2.203200666596706 13.44778272421315, 2.175771190510366 13.44709122481602, 2.15894470518009 13.47452070090235, 2.147880714825936 13.47429020110331, 2.160327703974359 13.45446721838545, 2.146728215830712 13.452162220395, 2.129901730500436 13.46414820994534, 2.115149743361564 13.47152420351477, 2.093713262050391 13.4747512007014, 2.083571270892417 13.47843919748612, 2.063978787973602 13.49618768201257, 2.06766678475832 13.51093966915145, 2.048765801236641 13.52039016091229, 2.048765801236641 13.52039016091229, 2.035627312691083 13.54090464302728))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,30.5287437439,9.9957180447,8.22578048706,1.41236436367,5.12884271145,15.2119882107,5.83571508101,10.0
581,2,2017-02-01,"POLYGON ((38.47102069628109 37.05147192240405, 38.49978873702004 37.05235015401434, 38.49915992738641 37.02976382630819, 38.47180670832314 37.02913633240281, 38.47180670832314 37.02913633240281, 38.47102069628109 37.05147192240405))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,146.758148193,44.5420817057,27.6297264099,1.37353956699,10.7597253323,73.1445960999,42.5954449816,13.0
582,3,2017-02-01,"POLYGON ((37.12770996393091 36.20964663169034, 37.15657514711326 36.2262534448576, 37.16958813953153 36.22300871250784, 37.18094493291476 36.21327370784178, 37.17573973594745 36.18883542001652, 37.1468745527651 36.18329756044453, 37.14190595565994 36.18157883475856, 37.13291516089821 36.18406142642266, 37.12794656379306 36.18692585749726, 37.12629036475801 36.20010089114169, 37.1229779666879 36.20449207638483, 37.12605376489586 36.21002843709692, 37.12770996393091 36.20964663169034))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,8.31803607941,2.71402896029,1.92632114887,0.549215376377,1.18439644575,3.90264415741,1.95045157645,14.0
583,4,2017-02-01,"POLYGON ((37.11114797358039 36.23522347492158, 37.14498175386789 36.24552819659209, 37.16272674352917 36.24533738075836, 37.17100773870444 36.24991683218287, 37.18212793222551 36.23999434827051, 37.19182852657367 36.24362001729037, 37.20223892050829 36.24056683350689, 37.21264931444291 36.23789519986668, 37.2079173171999 36.22167260712166, 37.21359571389151 36.21365549555151, 37.21312251416721 36.18940827969338, 37.20318531995689 36.18749873114168, 37.18804292877926 36.19131778168592, 37.17905213401755 36.19399100625422, 37.17952533374185 36.19227251522219, 37.18662332960637 36.18845351123736, 37.17763253484465 36.17718636446215, 37.15823134614831 36.17661341539807, 37.15988754518337 36.15751271596962, 37.16698554104788 36.14165560071857, 37.15775814642402 36.1435662663939, 37.15326274904316 36.13898059059547, 37.14474515400574 36.13324811893126, 37.13528115951973 36.1393627404828, 37.13267856103607 36.15178159851406, 37.12179496737715 36.15292785551462, 37.1210851677907 36.16782767178398, 37.09908138061071 36.15980504566583, 37.09221998460835 36.16591759718231, 37.08938078626255 36.1790961644163, 37.08606838819244 36.19380006466865, 37.08867098667609 36.21117384213985, 37.0929297841948 36.23102486554119, 37.11114797358039 36.23522347492158))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,8.31803607941,1.42287847293,0.857022225857,0.280251204967,0.495994359255,1.71692872047,1.45544572714,14.0
584,5,2017-02-01,"POLYGON ((36.40341863592295 34.17279345546601, 36.40247223647435 34.18150389320865, 36.40247223647435 34.18150389320865, 36.40886043275241 34.1946167886848, 36.41465712937509 34.18864773830283, 36.43334851848498 34.19177909610332, 36.44636151090325 34.17866575944549, 36.42530412317186 34.1650609653423, 36.41785122751413 34.16858471957912, 36.41264603054682 34.16320114685905, 36.40341863592295 34.17279345546601))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,14.6174383163,5.48110775072,4.25483369827,1.16298878193,3.10451936722,6.44357538223,3.45024589805,13.0
585,6,2017-02-01,"POLYGON ((-3.722971585334537 40.40289708884961, -3.720605586713033 40.40974328064685, -3.720605586713033 40.40974328064685, -3.715636989607875 40.42019138867585, -3.721551986161634 40.43640075805357, -3.709721993054115 40.44720483385137, -3.686062006839077 40.44630456052422, -3.669026816764248 40.42793635252625, -3.669500016488549 40.42181250141204, -3.67044641593715 40.40650043449464, -3.690084204495633 40.38704007647399, -3.722971585334537 40.40289708884961))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,400.579559326,68.6591089221,62.7656364441,41.2470550537,54.3167219162,72.0264759064,41.3119438666,8.0
586,7,2017-02-01,"POLYGON ((23.23781930656451 24.20789188732462, 23.23781930656451 24.21630758058896, 23.24184150422106 24.23702075375219, 23.27969748216513 24.22709611768416, 23.30986396458931 24.22407542325791, 23.34913954170627 24.19386448704633, 23.30903586507177 24.16170361925751, 23.30099146975866 24.14097816093008, 23.29838887127501 24.1021089441632, 23.28774187747824 24.10189297109679, 23.27756808340577 24.11765804767638, 23.2612426929174 24.1172261536364, 23.24515390229117 24.11398690188063, 23.22693571290559 24.10383671558299, 23.21747171841957 24.11247522300706, 23.21179332172797 24.12867085318824, 23.21344952076301 24.14033043742293, 23.21676191883313 24.17638205080374, 23.22504291400839 24.20033886889199, 23.22149391607613 24.21695491858504, 23.22906511166494 24.21738647542158, 23.22906511166494 24.21738647542158, 23.23781930656451 24.20789188732462))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,108.063331604,9.49768288352,4.24010467529,0.433039575815,1.90289416909,9.36386847496,15.3973037517,10.0
587,8,2017-02-01,"POLYGON ((40.31394115754461 0.04351635772517254, 40.31193005871634 0.04298400818700496, 40.31193005871634 0.04298400818700496, 40.30577846230042 0.0462372553050483, 40.30376736347215 0.04883985289264434, 40.30063241529866 0.05457739721083915, 40.30098731509189 0.05694339471172901, 40.30276181405801 0.05954599185039611, 40.30897256043946 0.05942769198308673, 40.31234410847511 0.05333524848535415, 40.31394115754461 0.04351635772517254))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,13.4013547897,6.43534978231,5.07344579697,2.03171014786,3.41909408569,11.253282547,4.13458631054,11.0
588,9,2017-02-01,"POLYGON ((40.29501316857259 0.1586811419581205, 40.33730539393197 0.1589768906494802, 40.33564919489692 0.1364408288137585, 40.3280779993081 0.1254389639706871, 40.33226285936989 0.1220230614264362, 40.32800406185118 0.1075313489858168, 40.31534596922614 0.1045738557755736, 40.31617406874366 0.09818566950095171, 40.30990417239668 0.09788992010620595, 40.30617772456781 0.1029176594556237, 40.30185977708357 0.1188289703430893, 40.29501316857259 0.1586811419581205))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,8.97456645966,0.815909127209,0.327634841204,0.203907668591,0.269362106919,0.471580415964,1.52375475634,13.0
589,10,2017-02-01,"POLYGON ((7.978473859580398 16.94521982650482, 7.965697467024278 16.9456724811759, 7.952684474606006 16.96151470802103, 7.970192864405135 16.97871332744412, 8.005682843727694 16.99296888304548, 8.024610832699723 16.98233388864115, 8.019169035870267 16.9698879168973, 7.985571855444911 16.96128839989776, 7.986518254893512 16.9522358514477, 7.978473859580398 16.94521982650482))",SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,14.4519109726,5.69861206055,5.27232837677,0.646652877331,2.59650182724,8.4006125927,3.54072491131,14.0
590,1,2017-03-01,"POLYGON ((2.035627312691083 13.54090464302728, 2.05821629299748 13.56556812152508, 2.082879771495282 13.56349362333368, 2.086798268079045 13.57386611429069, 2.098553757830333 13.57732361127637, 2.102241754615051 13.59991259158277, 2.114919243562519 13.5985295927885, 2.123217236328135 13.5646461223289, 2.140735221055545 13.55680912916138, 2.151568711610654 13.53721664624256, 2.156639707189641 13.51186166834763, 2.16885619653902 13.52131216010847, 2.172544193323738 13.53606414724734, 2.18637418126643 13.53583364744829, 2.192828175639686 13.52984065267313, 2.187987679859744 13.50494667437628, 2.171622194127558 13.49434368362022, 2.186604681065475 13.48535419145746, 2.195133173630135 13.47106320391668, 2.209654660969962 13.4680667065291, 2.203200666596706 13.44778272421315, 2.175771190510366 13.44709122481602, 2.15894470518009 13.47452070090235, 2.147880714825936 13.47429020110331, 2.160327703974359 13.45446721838545, 2.146728215830712 13.452162220395, 2.129901730500436 13.46414820994534, 2.115149743361564 13.47152420351477, 2.093713262050391 13.4747512007014, 2.083571270892417 13.47843919748612, 2.063978787973602 13.49618768201257, 2.06766678475832 13.51093966915145, 2.048765801236641 13.52039016091229, 2.048765801236641 13.52039016091229, 2.035627312691083 13.54090464302728))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,37.0431518555,10.3968017578,9.0026884079,0.983867764473,5.0927990675,15.3902273178,6.38197182841,13.0
591,2,2017-03-01,"POLYGON ((38.47102069628109 37.05147192240405, 38.49978873702004 37.05235015401434, 38.49915992738641 37.02976382630819, 38.47180670832314 37.02913633240281, 38.47180670832314 37.02913633240281, 38.47102069628109 37.05147192240405))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,195.083343506,51.9162760417,27.3825359344,2.18271636963,11.2991404533,95.5886287689,53.0808817843,11.0
592,3,2017-03-01,"POLYGON ((37.12770996393091 36.20964663169034, 37.15657514711326 36.2262534448576, 37.16958813953153 36.22300871250784, 37.18094493291476 36.21327370784178, 37.17573973594745 36.18883542001652, 37.1468745527651 36.18329756044453, 37.14190595565994 36.18157883475856, 37.13291516089821 36.18406142642266, 37.12794656379306 36.18692585749726, 37.12629036475801 36.20010089114169, 37.1229779666879 36.20449207638483, 37.12605376489586 36.21002843709692, 37.12770996393091 36.20964663169034))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,7.58574771881,2.83900466475,2.42104744911,0.680384278297,1.32021600008,3.9008436203,1.78062602095,17.0
593,4,2017-03-01,"POLYGON ((37.11114797358039 36.23522347492158, 37.14498175386789 36.24552819659209, 37.16272674352917 36.24533738075836, 37.17100773870444 36.24991683218287, 37.18212793222551 36.23999434827051, 37.19182852657367 36.24362001729037, 37.20223892050829 36.24056683350689, 37.21264931444291 36.23789519986668, 37.2079173171999 36.22167260712166, 37.21359571389151 36.21365549555151, 37.21312251416721 36.18940827969338, 37.20318531995689 36.18749873114168, 37.18804292877926 36.19131778168592, 37.17905213401755 36.19399100625422, 37.17952533374185 36.19227251522219, 37.18662332960637 36.18845351123736, 37.17763253484465 36.17718636446215, 37.15823134614831 36.17661341539807, 37.15988754518337 36.15751271596962, 37.16698554104788 36.14165560071857, 37.15775814642402 36.1435662663939, 37.15326274904316 36.13898059059547, 37.14474515400574 36.13324811893126, 37.13528115951973 36.1393627404828, 37.13267856103607 36.15178159851406, 37.12179496737715 36.15292785551462, 37.1210851677907 36.16782767178398, 37.09908138061071 36.15980504566583, 37.09221998460835 36.16591759718231, 37.08938078626255 36.1790961644163, 37.08606838819244 36.19380006466865, 37.08867098667609 36.21117384213985, 37.0929297841948 36.23102486554119, 37.11114797358039 36.23522347492158))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,8.83080005646,1.45944734899,0.911960065365,0.272754371166,0.516295313835,1.83508276939,1.42366224641,17.0
594,5,2017-03-01,"POLYGON ((36.40341863592295 34.17279345546601, 36.40247223647435 34.18150389320865, 36.40247223647435 34.18150389320865, 36.40886043275241 34.1946167886848, 36.41465712937509 34.18864773830283, 36.43334851848498 34.19177909610332, 36.44636151090325 34.17866575944549, 36.42530412317186 34.1650609653423, 36.41785122751413 34.16858471957912, 36.41264603054682 34.16320114685905, 36.40341863592295 34.17279345546601))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,13.9064092636,5.41203962054,4.29716348648,1.28201723099,2.92860579491,6.70740938187,3.09168139585,16.0
595,6,2017-03-01,"POLYGON ((-3.722971585334537 40.40289708884961, -3.720605586713033 40.40974328064685, -3.720605586713033 40.40974328064685, -3.715636989607875 40.42019138867585, -3.721551986161634 40.43640075805357, -3.709721993054115 40.44720483385137, -3.686062006839077 40.44630456052422, -3.669026816764248 40.42793635252625, -3.669500016488549 40.42181250141204, -3.67044641593715 40.40650043449464, -3.690084204495633 40.38704007647399, -3.722971585334537 40.40289708884961))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,405.891448975,73.1734389153,66.9942626953,39.1263389587,56.908411026,78.0665283203,37.2094773942,13.0
596,7,2017-03-01,"POLYGON ((23.23781930656451 24.20789188732462, 23.23781930656451 24.21630758058896, 23.24184150422106 24.23702075375219, 23.27969748216513 24.22709611768416, 23.30986396458931 24.22407542325791, 23.34913954170627 24.19386448704633, 23.30903586507177 24.16170361925751, 23.30099146975866 24.14097816093008, 23.29838887127501 24.1021089441632, 23.28774187747824 24.10189297109679, 23.27756808340577 24.11765804767638, 23.2612426929174 24.1172261536364, 23.24515390229117 24.11398690188063, 23.22693571290559 24.10383671558299, 23.21747171841957 24.11247522300706, 23.21179332172797 24.12867085318824, 23.21344952076301 24.14033043742293, 23.21676191883313 24.17638205080374, 23.22504291400839 24.20033886889199, 23.22149391607613 24.21695491858504, 23.22906511166494 24.21738647542158, 23.22906511166494 24.21738647542158, 23.23781930656451 24.20789188732462))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,111.407745361,9.69182942708,4.47827529907,0.463964611292,1.87810117006,9.25549840927,15.9341370337,18.0
597,8,2017-03-01,"POLYGON ((40.31394115754461 0.04351635772517254, 40.31193005871634 0.04298400818700496, 40.31193005871634 0.04298400818700496, 40.30577846230042 0.0462372553050483, 40.30376736347215 0.04883985289264434, 40.30063241529866 0.05457739721083915, 40.30098731509189 0.05694339471172901, 40.30276181405801 0.05954599185039611, 40.30897256043946 0.05942769198308673, 40.31234410847511 0.05333524848535415, 40.31394115754461 0.04351635772517254))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,14.9263420105,6.96431477865,6.27936840057,2.73226428032,3.24034357071,9.42794513702,4.08359706763,17.0
598,9,2017-03-01,"POLYGON ((40.29501316857259 0.1586811419581205, 40.33730539393197 0.1589768906494802, 40.33564919489692 0.1364408288137585, 40.3280779993081 0.1254389639706871, 40.33226285936989 0.1220230614264362, 40.32800406185118 0.1075313489858168, 40.31534596922614 0.1045738557755736, 40.31617406874366 0.09818566950095171, 40.30990417239668 0.09788992010620595, 40.30617772456781 0.1029176594556237, 40.30185977708357 0.1188289703430893, 40.29501316857259 0.1586811419581205))",SVDNB_npp_20170301-20170331_75N060W_vcmcfg_v10_c201705020851.avg_rade9.tif,8.27935600281,1.0566717843,0.595426261425,0.462601184845,0.548220723867,0.797922700644,1.25044235363,17.0
